delf* 214 1394
tipo: circulo, id: 214, raio: 2.500000, x: 548.000000, y: 41.250000, corb: black, corp: dimgray

tipo: circulo, id: 215, raio: 2.500000, x: 554.000000, y: 41.250000, corb: black, corp: dimgray

tipo: circulo, id: 216, raio: 2.500000, x: 530.000000, y: 47.500000, corb: black, corp: dimgray

tipo: circulo, id: 217, raio: 2.500000, x: 548.000000, y: 47.500000, corb: black, corp: dimgray

tipo: circulo, id: 218, raio: 2.500000, x: 554.000000, y: 47.500000, corb: black, corp: dimgray

tipo: circulo, id: 219, raio: 2.500000, x: 572.000000, y: 47.500000, corb: black, corp: dimgray

tipo: circulo, id: 220, raio: 2.500000, x: 530.000000, y: 53.750000, corb: black, corp: dimgray

tipo: circulo, id: 221, raio: 2.500000, x: 536.000000, y: 53.750000, corb: black, corp: dimgray

tipo: circulo, id: 222, raio: 2.500000, x: 542.000000, y: 53.750000, corb: black, corp: dimgray

tipo: circulo, id: 223, raio: 2.500000, x: 548.000000, y: 53.750000, corb: black, corp: dimgray

tipo: circulo, id: 224, raio: 2.500000, x: 554.000000, y: 53.750000, corb: black, corp: dimgray

tipo: circulo, id: 225, raio: 2.500000, x: 560.000000, y: 53.750000, corb: black, corp: dimgray

tipo: circulo, id: 226, raio: 2.500000, x: 566.000000, y: 53.750000, corb: black, corp: dimgray

tipo: circulo, id: 227, raio: 2.500000, x: 572.000000, y: 53.750000, corb: black, corp: dimgray

tipo: circulo, id: 228, raio: 2.500000, x: 582.000000, y: 10.000000, corb: black, corp: dimgray

tipo: circulo, id: 229, raio: 2.500000, x: 588.000000, y: 10.000000, corb: black, corp: dimgray

tipo: circulo, id: 230, raio: 2.500000, x: 594.000000, y: 10.000000, corb: black, corp: dimgray

tipo: circulo, id: 231, raio: 2.500000, x: 600.000000, y: 10.000000, corb: black, corp: dimgray

tipo: circulo, id: 232, raio: 2.500000, x: 606.000000, y: 10.000000, corb: black, corp: dimgray

tipo: circulo, id: 233, raio: 2.500000, x: 612.000000, y: 10.000000, corb: black, corp: dimgray

tipo: circulo, id: 234, raio: 2.500000, x: 618.000000, y: 10.000000, corb: black, corp: dimgray

tipo: circulo, id: 235, raio: 2.500000, x: 624.000000, y: 10.000000, corb: black, corp: dimgray

tipo: circulo, id: 236, raio: 2.500000, x: 582.000000, y: 16.250000, corb: black, corp: dimgray

tipo: circulo, id: 237, raio: 2.500000, x: 582.000000, y: 22.500000, corb: black, corp: dimgray

tipo: circulo, id: 238, raio: 2.500000, x: 582.000000, y: 28.750000, corb: black, corp: dimgray

tipo: circulo, id: 239, raio: 2.500000, x: 582.000000, y: 35.000000, corb: black, corp: dimgray

tipo: circulo, id: 240, raio: 2.500000, x: 582.000000, y: 41.250000, corb: black, corp: dimgray

tipo: circulo, id: 241, raio: 2.500000, x: 582.000000, y: 47.500000, corb: black, corp: dimgray

tipo: circulo, id: 242, raio: 2.500000, x: 582.000000, y: 53.750000, corb: black, corp: dimgray

tipo: circulo, id: 243, raio: 2.500000, x: 588.000000, y: 53.750000, corb: black, corp: dimgray

tipo: circulo, id: 244, raio: 2.500000, x: 594.000000, y: 53.750000, corb: black, corp: dimgray

tipo: circulo, id: 245, raio: 2.500000, x: 600.000000, y: 53.750000, corb: black, corp: dimgray

tipo: circulo, id: 246, raio: 2.500000, x: 606.000000, y: 53.750000, corb: black, corp: dimgray

tipo: circulo, id: 247, raio: 2.500000, x: 612.000000, y: 53.750000, corb: black, corp: dimgray

tipo: circulo, id: 248, raio: 2.500000, x: 618.000000, y: 53.750000, corb: black, corp: dimgray

tipo: circulo, id: 249, raio: 2.500000, x: 624.000000, y: 53.750000, corb: black, corp: dimgray

tipo: circulo, id: 250, raio: 2.500000, x: 640.000000, y: 10.000000, corb: black, corp: dimgray

tipo: circulo, id: 251, raio: 2.500000, x: 646.000000, y: 10.000000, corb: black, corp: dimgray

tipo: circulo, id: 252, raio: 2.500000, x: 652.000000, y: 10.000000, corb: black, corp: dimgray

tipo: circulo, id: 253, raio: 2.500000, x: 658.000000, y: 10.000000, corb: black, corp: dimgray

tipo: circulo, id: 254, raio: 2.500000, x: 664.000000, y: 10.000000, corb: black, corp: dimgray

tipo: circulo, id: 255, raio: 2.500000, x: 670.000000, y: 10.000000, corb: black, corp: dimgray

tipo: circulo, id: 256, raio: 2.500000, x: 634.000000, y: 16.250000, corb: black, corp: dimgray

tipo: circulo, id: 257, raio: 2.500000, x: 676.000000, y: 16.250000, corb: black, corp: dimgray

tipo: circulo, id: 258, raio: 2.500000, x: 634.000000, y: 22.500000, corb: black, corp: dimgray

tipo: circulo, id: 259, raio: 2.500000, x: 676.000000, y: 22.500000, corb: black, corp: dimgray

tipo: circulo, id: 260, raio: 2.500000, x: 634.000000, y: 28.750000, corb: black, corp: dimgray

tipo: circulo, id: 261, raio: 2.500000, x: 676.000000, y: 28.750000, corb: black, corp: dimgray

tipo: circulo, id: 262, raio: 2.500000, x: 634.000000, y: 35.000000, corb: black, corp: dimgray

tipo: circulo, id: 263, raio: 2.500000, x: 676.000000, y: 35.000000, corb: black, corp: dimgray

tipo: circulo, id: 264, raio: 2.500000, x: 634.000000, y: 41.250000, corb: black, corp: dimgray

tipo: circulo, id: 265, raio: 2.500000, x: 676.000000, y: 41.250000, corb: black, corp: dimgray

tipo: circulo, id: 266, raio: 2.500000, x: 634.000000, y: 47.500000, corb: black, corp: dimgray

tipo: circulo, id: 267, raio: 2.500000, x: 676.000000, y: 47.500000, corb: black, corp: dimgray

tipo: circulo, id: 268, raio: 2.500000, x: 640.000000, y: 53.750000, corb: black, corp: dimgray

tipo: circulo, id: 269, raio: 2.500000, x: 646.000000, y: 53.750000, corb: black, corp: dimgray

tipo: circulo, id: 270, raio: 2.500000, x: 652.000000, y: 53.750000, corb: black, corp: dimgray

tipo: circulo, id: 271, raio: 2.500000, x: 658.000000, y: 53.750000, corb: black, corp: dimgray

tipo: circulo, id: 272, raio: 2.500000, x: 664.000000, y: 53.750000, corb: black, corp: dimgray

tipo: circulo, id: 273, raio: 2.500000, x: 670.000000, y: 53.750000, corb: black, corp: dimgray

tipo: circulo, id: 274, raio: 2.500000, x: 686.000000, y: 10.000000, corb: black, corp: dimgray

tipo: circulo, id: 275, raio: 2.500000, x: 692.000000, y: 10.000000, corb: black, corp: dimgray

tipo: circulo, id: 276, raio: 2.500000, x: 686.000000, y: 16.250000, corb: black, corp: dimgray

tipo: circulo, id: 277, raio: 2.500000, x: 692.000000, y: 16.250000, corb: black, corp: dimgray

tipo: circulo, id: 278, raio: 2.500000, x: 686.000000, y: 22.500000, corb: black, corp: dimgray

tipo: circulo, id: 279, raio: 2.500000, x: 692.000000, y: 22.500000, corb: black, corp: dimgray

tipo: circulo, id: 280, raio: 2.500000, x: 686.000000, y: 28.750000, corb: black, corp: dimgray

tipo: circulo, id: 281, raio: 2.500000, x: 692.000000, y: 28.750000, corb: black, corp: dimgray

tipo: circulo, id: 282, raio: 2.500000, x: 686.000000, y: 35.000000, corb: black, corp: dimgray

tipo: circulo, id: 283, raio: 2.500000, x: 692.000000, y: 35.000000, corb: black, corp: dimgray

tipo: circulo, id: 284, raio: 2.500000, x: 686.000000, y: 41.250000, corb: black, corp: dimgray

