"Tipo: quadra, Cep: B31-23.20, x: 5220.000000, y: 2115.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-23.19, x: 5110.000000, y: 2115.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-23.21, x: 5330.000000, y: 2115.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-24.20, x: 5220.000000, y: 2200.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-24.21, x: 5330.000000, y: 2200.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-22.19, x: 5110.000000, y: 2030.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-22.20, x: 5220.000000, y: 2030.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-22.21, x: 5330.000000, y: 2030.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-23.22, x: 5440.000000, y: 2115.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-24.19, x: 5110.000000, y: 2200.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-25.20, x: 5220.000000, y: 2285.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-24.22, x: 5440.000000, y: 2200.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-25.21, x: 5330.000000, y: 2285.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-25.22, x: 5440.000000, y: 2285.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-22.18, x: 5000.000000, y: 2030.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-23.18, x: 5000.000000, y: 2115.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-21.20, x: 5220.000000, y: 1945.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-21.21, x: 5330.000000, y: 1945.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-22.22, x: 5440.000000, y: 2030.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-23.23, x: 5550.000000, y: 2115.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-24.18, x: 5000.000000, y: 2200.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-25.19, x: 5110.000000, y: 2285.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
"Tipo: quadra, Cep: B31-26.20, x: 5220.000000, y: 2370.000000, w: 100.000000, h: 75.000000, sw: 1.0, cfill: orange, cstrk: black, rx: 0.0" foi removido.
