delf* 1085 1190
tipo: circulo, id: 1085, raio: 2.500000, x: 52.000000, y: 115.000000, corb: black, corp: tomato

tipo: circulo, id: 1086, raio: 2.500000, x: 10.000000, y: 121.250000, corb: black, corp: tomato

tipo: circulo, id: 1087, raio: 2.500000, x: 28.000000, y: 121.250000, corb: black, corp: tomato

tipo: circulo, id: 1088, raio: 2.500000, x: 34.000000, y: 121.250000, corb: black, corp: tomato

tipo: circulo, id: 1089, raio: 2.500000, x: 52.000000, y: 121.250000, corb: black, corp: tomato

tipo: circulo, id: 1090, raio: 2.500000, x: 28.000000, y: 127.500000, corb: black, corp: tomato

tipo: circulo, id: 1091, raio: 2.500000, x: 34.000000, y: 127.500000, corb: black, corp: tomato

tipo: circulo, id: 1092, raio: 2.500000, x: 28.000000, y: 133.750000, corb: black, corp: tomato

tipo: circulo, id: 1093, raio: 2.500000, x: 34.000000, y: 133.750000, corb: black, corp: tomato

tipo: circulo, id: 1094, raio: 2.500000, x: 28.000000, y: 140.000000, corb: black, corp: tomato

tipo: circulo, id: 1095, raio: 2.500000, x: 34.000000, y: 140.000000, corb: black, corp: tomato

tipo: circulo, id: 1096, raio: 2.500000, x: 28.000000, y: 146.250000, corb: black, corp: tomato

tipo: circulo, id: 1097, raio: 2.500000, x: 34.000000, y: 146.250000, corb: black, corp: tomato

tipo: circulo, id: 1098, raio: 2.500000, x: 28.000000, y: 152.500000, corb: black, corp: tomato

tipo: circulo, id: 1099, raio: 2.500000, x: 34.000000, y: 152.500000, corb: black, corp: tomato

tipo: circulo, id: 1100, raio: 2.500000, x: 28.000000, y: 158.750000, corb: black, corp: tomato

tipo: circulo, id: 1101, raio: 2.500000, x: 34.000000, y: 158.750000, corb: black, corp: tomato

tipo: circulo, id: 1102, raio: 2.500000, x: 62.000000, y: 115.000000, corb: black, corp: tomato

tipo: circulo, id: 1103, raio: 2.500000, x: 104.000000, y: 115.000000, corb: black, corp: tomato

